Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:979: 2 Unique Traces, 43 Redundant Traces, 2 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:996: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1003: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 41 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1010: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1017: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 49 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1024: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1031: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1038: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1045: 1 Unique Traces, 85 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1052: 1 Unique Traces, 174 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1101: 1 Unique Traces, 1077 Redundant Traces, 1 Preserved, 84 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:1104: 1 Unique Traces, 167 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:47: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:49: 1 Unique Traces, 94 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:72: 1 Unique Traces, 173 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:74: 1 Unique Traces, 181 Redundant Traces, 1 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:95: 1 Unique Traces, 1235 Redundant Traces, 1 Preserved, 74 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:97: 1 Unique Traces, 1337 Redundant Traces, 1 Preserved, 122 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:117: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 497 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:119: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 531 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:137: 6 Unique Traces, 5309 Redundant Traces, 2 Preserved, 283 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:140: 1 Unique Traces, 8341 Redundant Traces, 1 Preserved, 435 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:142: 7 Unique Traces, 13585 Redundant Traces, 1 Preserved, 681 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:244: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 562 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:246: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 466 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:325: 14 Unique Traces, 139986 Redundant Traces, 2 Preserved, 6972 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:329: 14 Unique Traces, 139986 Redundant Traces, 5 Preserved, 7127 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:333: 14 Unique Traces, 139986 Redundant Traces, 3 Preserved, 6979 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:337: 15 Unique Traces, 103817 Redundant Traces, 4 Preserved, 5092 Remained 
