Iterator_HasNext @ BufferBuilder.java:218: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ BufferBuilder.java:278: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ BufferBuilder.java:307: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ BufferSubgraph.java:73: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_HasNext @ BufferSubgraph.java:131: 2 Unique Traces, 23 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ BufferSubgraph.java:147: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_HasNext @ BufferSubgraph.java:192: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ BufferSubgraph.java:209: 2 Unique Traces, 20 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ BufferSubgraph.java:226: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Iterator_HasNext @ BufferSubgraph.java:250: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:67: 2 Unique Traces, 38 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:114: 2 Unique Traces, 28 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:133: 2 Unique Traces, 28 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:147: 2 Unique Traces, 28 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:160: 2 Unique Traces, 50 Redundant Traces, 2 Preserved, 24 Remained 
Iterator_HasNext @ DirectedEdgeStar.java:304: 4 Unique Traces, 26 Redundant Traces, 3 Preserved, 22 Remained 
